prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
556,MOB_SWA-1007,Apple Smartwatche Max,5469,M,2025-01-17,
557,GAM_CON-1003,Nintendo Console Ultra,,G,2025-02-09,
558,GAM_CON-1004,Nintendo Console Pro,24383,G,2023-06-26,
559,COM_LAP-1005,Dell Laptop Ultra,80512,C,2023-08-01,
560,COM_RAM-1004,G.Skill RAM Module Lite,3315,C,2023-06-25,
561,ACC_PWB-1002,Xiaomi Power Bank Max,508,A,2024-05-17,
562,COM_STR-1008,Samsung Storage (SSD/HDD) Pro,3432,C,2025-07-28,
563,COM_STR-1009,Kingston Storage (SSD/HDD) Ultra,4319,C,2024-05-25,
564,ACC_CAS-1006,Generic Phone Case Pro,157,A,2022-11-02,
565,ACC_CAS-1007,Generic Phone Case Max,231,A,2022-03-27,
566,GAM_CON-1005,Microsoft Console Pro,23727,G,2023-05-27,
567,COM_LAP-1006,Lenovo Laptop,61264,C,2022-11-13,
568,COM_GPU-1003,AMD Graphics Card Lite,,C,2023-11-12,
569,DIS_TVS-1002,LG Television Max,15433,D,2022-08-10,
570,DIS_MON-1003,Samsung Monitor Plus,9788,D,2024-07-31,
571,GAM_ACC-1005,HyperX Gaming Accessorie Lite,,G,2023-01-31,
572,DIS_MON-1004,Dell Monitor Max,4774,D,2023-07-26,
573,GAM_ACC-1006,SteelSeries Gaming Accessorie Ultra,2496,G,2022-02-26,
574,COM_LAP-1007,Lenovo Laptop Lite,84099,C,2023-06-28,
575,MOB_TAB-1002,Samsung Tablet,16739,M,2023-10-05,
576,DIS_TVS-1003,Hisense Television,12578,D,2025-03-26,
577,COM_RAM-1005,G.Skill RAM Module Pro,3403,C,2024-11-30,
578,ACC_CAS-1008,UAG Phone Case Ultra,281,A,2022-05-24,
579,GAM_CTR-1002,Logitech Controller Ultra,1410,G,2023-09-08,
580,ACC_PWB-1003,Xiaomi Power Bank Ultra,1972,A,2023-08-29,
581,ACC_CAS-1009,Generic Phone Case Lite,510,A,2024-02-16,
582,COM_MTB-1004,Gigabyte Motherboard Plus,10977,C,2023-09-15,
583,GAM_CON-1006,Sony Console Plus,21873,G,2025-09-02,
584,GAM_CTR-1003,Razer Controller Plus,2711,G,2024-11-12,
585,ACC_CAB-1003,Generic Cable Lite,387,A,2024-11-21,
586,GAM_CTR-1004,Sony Controller Lite,3655,G,2023-02-12,
587,COM_DSK-1004,Dell Desktop Pro,22046,C,2025-06-05,
588,MOB_SWA-1008,Huawei Smartwatche Plus,11118,M,2024-02-26,
589,ACC_CAB-1004,Belkin Cable Lite,125,A,2022-01-12,
590,COM_LAP-1008,ASUS Laptop Lite,31053,C,2024-11-26,
591,ACC_CHG-1004,Anker Charger,660,A,2022-09-06,
592,ACC_CHG-1005,Anker Charger Plus,799,A,2024-06-25,
593,ACC_PWB-1004,Xiaomi Power Bank,2126,A,2024-08-30,
594,ACC_CHG-1006,Belkin Charger Lite,717,A,2024-12-03,
595,ACC_CAB-1005,Generic Cable Lite,190,A,2023-08-09,
596,COM_GPU-1004,ASUS Graphics Card Max,25952,C,2022-06-15,
597,COM_DSK-1005,HP Desktop Lite,31102,C,2023-03-15,
598,MOB_SWA-1009,Huawei Smartwatche Plus,6221,M,2024-05-01,
599,MOB_TAB-1003,Apple Tablet Plus,15262,M,2025-04-11,
600,MOB_SMP-1006,Realme Smartphone Plus,,M,2023-12-22,
601,GAM_CON-1007,Microsoft Console Plus,17818,G,2025-01-23,
602,COM_GPU-1005,MSI Graphics Card Lite,22887,C,2022-03-01,
603,DIS_MON-1005,Dell Monitor Ultra,15748,D,2024-08-15,
604,COM_DSK-1006,Dell Desktop Plus,44790,C,2022-02-25,
605,MOB_SWA-1010,Huawei Smartwatche Lite,8364,M,2023-06-17,
606,DIS_MON-1006,Dell Monitor Lite,17399,D,2024-02-16,
607,COM_STR-1010,Seagate Storage (SSD/HDD) Max,7539,C,2022-02-09,
608,ACC_CAS-1010,Generic Phone Case Max,309,A,2025-08-27,
609,MOB_TAB-1004,Samsung Tablet Lite,9032,M,2025-06-26,
610,COM_DSK-1007,HP Desktop Lite,37035,C,2025-03-01,
611,COM_RAM-1006,Adata RAM Module Ultra,1549,C,2022-12-10,
612,COM_LAP-1009,HP Laptop Max,22168,C,2023-10-01,
613,DIS_MON-1007,AOC Monitor Ultra,8998,D,2025-07-08,
614,COM_GPU-1006,NVIDIA Graphics Card Ultra,55625,C,2025-05-14,
615,COM_LAP-1010,Acer Laptop Pro,53508,C,2025-09-16,
616,GAM_ACC-1007,Razer Gaming Accessorie,2952,G,2024-05-10,
617,ACC_CAB-1006,Anker Cable Plus,235,A,2024-07-30,
618,COM_DSK-1008,Lenovo Desktop Lite,54090,C,2025-08-25,
619,COM_STR-1011,Adata Storage (SSD/HDD),7045,C,2024-06-11,
620,COM_STR-1012,WD Storage (SSD/HDD) Lite,7505,C,2023-07-26,
621,ACC_CHG-1007,Anker Charger Plus,926,A,2024-10-09,
622,GAM_CTR-1005,Microsoft Controller Plus,1768,G,2023-06-14,
623,GAM_CTR-1006,Logitech Controller,3772,G,2025-02-12,
624,MOB_SMP-1007,Realme Smartphone Lite,8610,M,2024-04-12,
625,ACC_CAB-1007,Generic Cable Lite,293,A,2024-10-02,
626,ACC_CHG-1008,Anker Charger Pro,752,A,2023-05-14,
627,GAM_CON-1008,Nintendo Console,15046,G,2024-12-23,
628,GAM_ACC-1008,SteelSeries Gaming Accessorie Ultra,2554,G,2024-07-18,
629,COM_STR-1013,WD Storage (SSD/HDD) Max,2588,C,2023-01-30,
630,GAM_CTR-1007,Sony Controller Ultra,3094,G,2023-01-15,
631,COM_RAM-1007,Corsair RAM Module Ultra,2483,C,2025-04-22,
632,ACC_PWB-1005,Baseus Power Bank Max,711,A,2023-08-30,
633,COM_GPU-1007,ASUS Graphics Card Lite,,C,2024-12-29,
634,COM_DSK-1009,Custom Build Desktop Pro,,C,2023-08-22,
635,COM_DSK-1010,Lenovo Desktop Pro,,C,2023-08-06,
636,ACC_CAB-1008,Belkin Cable Plus,224,A,2022-04-16,
637,COM_STR-1014,Seagate Storage (SSD/HDD) Pro,7434,C,2024-10-04,
638,MOB_SWA-1011,Samsung Smartwatche Lite,3244,M,2023-09-15,
639,MOB_SWA-1012,Apple Smartwatche Pro,9943,M,2025-05-26,
640,COM_GPU-1008,MSI Graphics Card Plus,34014,C,2025-04-20,
641,DIS_TVS-1004,TCL Television,45699,D,2022-07-23,
642,COM_RAM-1008,Corsair RAM Module Max,3205,C,2023-05-07,
643,COM_MTB-1005,ASUS Motherboard Lite,2043,C,2025-05-01,
644,ACC_CAB-1009,Belkin Cable Pro,168,A,2023-08-03,
645,ACC_CHG-1009,Anker Charger Ultra,628,A,2025-07-04,
646,COM_RAM-1009,Adata RAM Module Pro,2730,C,2022-11-02,
647,COM_STR-1015,Kingston Storage (SSD/HDD) Pro,1188,C,2023-09-22,
648,GAM_CON-1009,Microsoft Console Pro,16679,G,2024-04-04,
649,COM_STR-1016,Adata Storage (SSD/HDD),4745,C,2025-05-09,
650,MOB_TAB-1005,Huawei Tablet Ultra,13061,M,2022-02-22,
651,MOB_SWA-1013,Apple Smartwatche Ultra,10224,M,2022-02-12,
652,COM_STR-1017,Adata Storage (SSD/HDD) Pro,6951,C,2024-08-21,
653,ACC_PWB-1006,Baseus Power Bank Plus,1439,A,2025-04-13,
654,DIS_TVS-1005,Sony Television Pro,35802,D,2023-11-14,
655,GAM_CTR-1008,Sony Controller Lite,2250,G,2024-10-11,
656,GAM_CON-1010,Nintendo Console Plus,22329,G,2022-03-17,
657,ACC_CHG-1010,Anker Charger Max,666,A,2024-04-07,
658,ACC_PWB-1007,Anker Power Bank Ultra,2192,A,2023-01-20,
659,ACC_PWB-1008,Xiaomi Power Bank,2341,A,2022-04-16,
660,COM_RAM-1010,G.Skill RAM Module,1036,C,2024-06-16,
661,ACC_CAB-1010,Anker Cable Pro,372,A,2023-05-06,
662,COM_MTB-1006,Gigabyte Motherboard,2224,C,2022-07-10,
663,COM_GPU-1009,NVIDIA Graphics Card Plus,12698,C,2022-11-12,
664,ACC_CAB-1011,Generic Cable Max,310,A,2024-04-30,
665,ACC_CAB-1012,Belkin Cable Lite,283,A,2024-02-25,
666,COM_RAM-1011,Corsair RAM Module Pro,1631,C,2024-04-29,
667,GAM_CTR-1009,Logitech Controller Pro,2058,G,2025-04-17,
668,ACC_CAB-1013,Anker Cable Plus,325,A,2023-11-12,
669,ACC_CAS-1011,UAG Phone Case Plus,546,A,2023-01-22,
670,COM_GPU-1010,MSI Graphics Card Lite,55826,C,2023-10-14,
671,ACC_CAB-1014,Generic Cable Plus,247,A,2025-08-28,
672,COM_DSK-1011,Lenovo Desktop Pro,14273,C,2025-04-23,
673,GAM_CTR-1010,Sony Controller Plus,1308,G,2024-07-24,
674,MOB_SMP-1008,Apple Smartphone Plus,13116,M,2023-06-27,
675,GAM_CTR-1011,Razer Controller Ultra,1228,G,2024-12-28,
676,DIS_MON-1008,Dell Monitor Ultra,18489,D,2022-03-15,
677,MOB_SWA-1014,Apple Smartwatche Ultra,5508,M,2022-07-05,
678,DIS_TVS-1006,Samsung Television Ultra,51130,D,2024-06-27,
679,COM_MTB-1007,Gigabyte Motherboard Pro,2753,C,2022-04-25,
680,GAM_CON-1011,Microsoft Console Max,16056,G,2024-12-23,
681,DIS_TVS-1007,Hisense Television Ultra,16800,D,2022-06-11,
682,DIS_MON-1009,ViewSonic Monitor Ultra,10391,D,2025-04-09,
683,COM_DSK-1012,HP Desktop Plus,47805,C,2023-06-07,
684,MOB_SMP-1009,Oppo Smartphone Max,38821,M,2024-06-23,
685,GAM_ACC-1009,HyperX Gaming Accessorie Ultra,2037,G,2024-07-24,
686,GAM_CON-1012,Sony Console Plus,22981,G,2023-05-01,
687,DIS_MON-1010,ViewSonic Monitor Max,12195,D,2023-08-28,
688,MOB_SMP-1010,Oppo Smartphone Max,3530,M,2022-04-11,
689,ACC_CAB-1015,Belkin Cable Lite,360,A,2023-03-25,
690,COM_RAM-1012,G.Skill RAM Module Ultra,3594,C,2025-09-12,
691,COM_DSK-1013,Dell Desktop Ultra,,C,2024-06-21,
692,MOB_TAB-1006,Lenovo Tablet Ultra,6806,M,2023-08-28,
693,GAM_CTR-1012,Razer Controller Lite,1722,G,2025-01-09,
694,GAM_ACC-1010,HyperX Gaming Accessorie Lite,1352,G,2024-09-13,
695,GAM_CON-1013,Nintendo Console Max,22176,G,2022-06-04,
696,COM_DSK-1014,HP Desktop Ultra,53462,C,2024-03-24,
697,ACC_CAS-1012,Spigen Phone Case Pro,,A,2025-01-03,
698,COM_LAP-1011,ASUS Laptop Max,42362,C,2025-07-31,
699,GAM_ACC-1011,Razer Gaming Accessorie Ultra,1257,G,2025-06-22,
700,ACC_CAS-1013,Spigen Phone Case,306,A,2025-07-25,
701,ACC_CHG-1011,Generic Charger Max,986,A,2022-04-03,
702,MOB_TAB-1007,Lenovo Tablet Plus,6305,M,2025-01-05,
703,COM_DSK-1015,Lenovo Desktop Plus,30314,C,2025-01-11,
704,DIS_TVS-1008,Hisense Television Ultra,52618,D,2024-04-29,
705,COM_LAP-1012,ASUS Laptop,61492,C,2023-07-27,
706,MOB_TAB-1008,Lenovo Tablet Lite,17028,M,2023-04-29,
707,GAM_ACC-1012,Razer Gaming Accessorie Ultra,1804,G,2025-08-13,
708,GAM_ACC-1013,Razer Gaming Accessorie Plus,1430,G,2022-09-08,
709,ACC_CHG-1012,Anker Charger Ultra,584,A,2025-05-07,
710,MOB_SMP-1011,Samsung Smartphone Max,18962,M,2025-03-02,
711,COM_RAM-1013,Kingston RAM Module,1348,C,2023-04-23,
712,GAM_CTR-1013,Microsoft Controller,911,G,2022-10-24,
713,COM_DSK-1016,Custom Build Desktop Lite,13204,C,2022-02-22,
714,COM_DSK-1017,Dell Desktop Max,57772,C,2025-04-20,
715,GAM_CTR-1014,Sony Controller Lite,,G,2024-05-12,
716,ACC_PWB-1009,Anker Power Bank Ultra,560,A,2024-01-12,
717,ACC_PWB-1010,Baseus Power Bank Pro,2151,A,2025-06-13,
718,MOB_TAB-1009,Lenovo Tablet Plus,23580,M,2022-05-05,
719,ACC_CAB-1016,Belkin Cable Plus,105,A,2024-06-27,
720,MOB_SWA-1015,Samsung Smartwatche Max,10766,M,2022-09-16,
721,COM_STR-1018,Adata Storage (SSD/HDD) Ultra,5495,C,2023-10-28,
722,DIS_MON-1011,ViewSonic Monitor,12163,D,2025-05-24,
723,DIS_TVS-1009,Samsung Television Ultra,12498,D,2025-08-26,
724,ACC_CAS-1014,UAG Phone Case Lite,520,A,2023-04-13,
725,DIS_TVS-1010,TCL Television Plus,31131,D,2022-07-14,
726,GAM_CTR-1015,Razer Controller Max,3624,G,2022-11-09,
727,ACC_CAB-1017,Anker Cable Pro,93,A,2022-07-17,
728,GAM_ACC-1014,Logitech Gaming Accessorie,545,G,2025-02-24,
729,ACC_CAS-1015,Spigen Phone Case Ultra,205,A,2025-09-24,
730,DIS_TVS-1011,Samsung Television Max,44348,D,2022-08-01,
731,ACC_PWB-1011,Anker Power Bank Lite,2275,A,2022-08-10,
732,GAM_ACC-1015,HyperX Gaming Accessorie Pro,3423,G,2023-04-09,
733,DIS_TVS-1012,Hisense Television,45211,D,2025-02-14,
734,MOB_SMP-1012,Realme Smartphone Ultra,,M,2023-07-14,
735,GAM_CON-1014,Microsoft Console Max,9100,G,2022-10-21,
736,DIS_MON-1012,Samsung Monitor Lite,3504,D,2024-12-22,
737,COM_RAM-1014,Adata RAM Module Plus,2358,C,2024-01-28,
738,GAM_CON-1015,Nintendo Console Max,21727,G,2025-05-06,
739,MOB_SWA-1016,Samsung Smartwatche Lite,3379,M,2022-04-12,
740,MOB_SWA-1017,Amazfit Smartwatche Plus,11645,M,2025-05-28,
